Indicator;Economic activity;Year;Number of Employees
Total employment (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2009;N/A
Employees (Domestic concept);TOTAL TOTAL;2009;796500.0
Employees (Domestic concept);A Agriculture, forestry and fishing;2009;33608.0
Employees (Domestic concept);B_C_D_E Industry - total;2009;132419.0
Employees (Domestic concept);B Mining and quarrying;2009;N/A
Employees (Domestic concept);C Manufacturing;2009;111159.0
Employees (Domestic concept);D Electricity, gas, steam and air conditioning supply;2009;N/A
Employees (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2009;N/A
Employees (Domestic concept);F Construction;2009;62986.0
Employees (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2009;251708.0
Employees (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2009;233673.0
Employees (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2009;N/A
Employees (Domestic concept);H Transportation and storage;2009;N/A
Employees (Domestic concept);I Accommodation and food service activities;2009;N/A
Employees (Domestic concept);J Information and communication;2009;18035.0
Employees (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2009;86258.0
Employees (Domestic concept);K Financial and insurance activities;2009;18413.0
Employees (Domestic concept);L Real estate activities;2009;19812.0
Employees (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2009;48033.0
Employees (Domestic concept);M Professional, scientific and technical activities;2009;N/A
Employees (Domestic concept);N Administrative and support service activities;2009;N/A
Employees (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2009;229521.0
Employees (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2009;198478.0
Employees (Domestic concept);O Public administration and defence, compulsory social security;2009;N/A
Employees (Domestic concept);P Education;2009;N/A
Employees (Domestic concept);Q Human health and social work activities;2009;N/A
Employees (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2009;31043.0
Employees (Domestic concept);R Arts, entertainment and recreation;2009;N/A
Employees (Domestic concept);S Other service activities;2009;N/A
Employees (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2009;N/A
Self-employed (Domestic concept);TOTAL TOTAL;2009;107223.0
Self-employed (Domestic concept);A Agriculture, forestry and fishing;2009;42723.0
Self-employed (Domestic concept);B_C_D_E Industry - total;2009;7098.0
Self-employed (Domestic concept);B Mining and quarrying;2009;N/A
Self-employed (Domestic concept);C Manufacturing;2009;5607.0
Self-employed (Domestic concept);D Electricity, gas, steam and air conditioning supply;2009;N/A
Self-employed (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2009;N/A
Self-employed (Domestic concept);F Construction;2009;9816.0
Self-employed (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2009;17638.0
Self-employed (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2009;16318.0
Self-employed (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2009;N/A
Self-employed (Domestic concept);H Transportation and storage;2009;N/A
Self-employed (Domestic concept);I Accommodation and food service activities;2009;N/A
Self-employed (Domestic concept);J Information and communication;2009;1320.0
Self-employed (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2009;9293.0
Self-employed (Domestic concept);K Financial and insurance activities;2009;785.0
Self-employed (Domestic concept);L Real estate activities;2009;1283.0
Self-employed (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2009;7225.0
Self-employed (Domestic concept);M Professional, scientific and technical activities;2009;N/A
Self-employed (Domestic concept);N Administrative and support service activities;2009;N/A
Self-employed (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2009;20654.0
Self-employed (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2009;5353.0
Self-employed (Domestic concept);O Public administration and defence, compulsory social security;2009;N/A
Self-employed (Domestic concept);P Education;2009;N/A
Self-employed (Domestic concept);Q Human health and social work activities;2009;N/A
Self-employed (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2009;15302.0
Self-employed (Domestic concept);R Arts, entertainment and recreation;2009;N/A
